Relay URL,Latitude,Longitude,IsBitChat
primus.nostr1.com,40.7057,-74.0136,0
relay.floof.sbs,52.3676,4.90414,0
pnostr.self-determined.de,53.495,10.2542,0
nostr.kosmos.org,50.4754,12.3683,0
relay.anmore.me,49.704,-124.918,0
nostr.night7.space:443,50.4754,12.3683,0
armada.sharegap.net,43.6532,-79.3832,0
relay.nosto.re,51.1792,5.89444,0
relay.nateeatschicken.xyz,50.1109,8.68213,0
relay.coinos.io,43.6532,-79.3832,0
nostr.czas.plus,41.0082,28.9784,0
relay.alex71btc.com:443,43.6532,-79.3832,0
relay.inforsupports.com,43.6532,-79.3832,0
nostr.0x7e.xyz,47.4949,8.71954,0
relay.ygg.gratis,43.6532,-79.3832,0
relay2.ngengine.org:443,43.6532,-79.3832,0
relay.2020117.xyz,43.6532,-79.3832,0
relay.ngengine.org:443,43.6532,-79.3832,0
premium.nostr.bar,43.6532,-79.3832,0
nostream-production-643a.up.railway.app,37.79,-122.401,0
chronicle.dtonon.com,43.6532,-79.3832,0
fabian.nostr1.com,40.7057,-74.0136,0
